Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,PM 2.5
40,03-01-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,10,22,39,NA
40,06-01-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,11,22,40,NA
40,09-01-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,11,22,37,NA
40,13-01-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,11,24,44,NA
40,17-01-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,11,22,48,NA
40,20-01-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,11,23,63,NA
40,23-01-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,11,23,49,NA
40,28-01-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,11,24,56,NA
40,30-01-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,12,24,86,NA
40,03-02-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,11,25,47,NA
40,05-02-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,14,25,46,NA
40,07-02-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,14,27,34,NA
40,10-02-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,14,27,83,NA
40,13-02-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,13,27,82,NA
40,19-02-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,16,27,75,NA
40,21-02-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,15,27,79,NA
40,24-02-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,17,28,79,NA
40,04-03-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,13,25,83,NA
40,06-03-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,14,26,50,NA
40,10-03-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,16,28,49,NA
40,13-03-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,13,26,65,NA
40,17-03-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,18,30,68,NA
40,20-03-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,16,28,42,NA
40,24-03-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,16,27,82,NA
40,26-03-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,15,25,101,NA
40,30-03-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,17,29,71,NA
40,04-04-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,13,26,64,NA
40,07-04-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,11,24,59,NA
40,10-04-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,12,26,51,NA
40,16-04-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,12,24,53,NA
40,23-04-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,11,23,46,NA
40,25-04-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,15,29,55,NA
40,28-04-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,11,22,108,NA
40,05-05-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,11,24,49,NA
40,07-05-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,12,23,56,NA
40,12-05-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,13,26,106,NA
40,16-05-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,13,24,69,NA
40,19-05-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,11,23,42,NA
40,21-05-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,12,23,67,NA
40,23-05-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,13,24,75,NA
40,26-05-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,12,24,70,NA
40,29-05-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,10,23,48,NA
40,02-06-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,12,23,63,NA
40,04-06-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,11,23,46,NA
40,09-06-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,11,23,158,NA
40,12-06-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,10,22,46,NA
40,16-06-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,12,24,67,NA
40,19-06-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,12,23,68,NA
40,23-06-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,10,22,53,NA
40,25-06-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,13,24,55,NA
40,27-06-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,13,25,90,NA
40,02-07-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,11,24,51,NA
40,04-07-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,11,20,52,NA
40,07-07-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,11,21,53,NA
40,10-07-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,10,22,65,NA
40,14-07-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,11,22,78,NA
40,17-07-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,11,22,57,NA
40,21-07-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,11,22,42,NA
40,24-07-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,11,22,46,NA
40,29-07-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,11,22,32,NA
40,04-08-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,12,23,93,NA
40,07-08-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,12,23,40,NA
40,11-08-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,10,22,37,NA
40,14-08-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,12,23,52,NA
40,18-08-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,10,21,37,NA
40,20-08-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,11,22,33,NA
40,22-08-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,11,23,44,NA
40,25-08-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,12,23,53,NA
40,28-08-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,11,24,52,NA
40,03-09-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,11,22,49,NA
40,04-09-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,10,22,41,NA
40,08-09-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,12,23,91,NA
40,11-09-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,11,21,38,NA
40,15-09-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,13,24,79,NA
40,19-09-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,11,22,36,NA
40,22-09-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,12,23,59,NA
40,24-09-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,13,25,52,NA
40,29-09-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,10,22,33,NA
40,03-10-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,12,23,107,NA
40,06-10-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,11,23,50,NA
40,09-10-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,12,22,32,NA
